Specificity-Oriented,Presumptuous,AND_Rule,OR_Rule,Simple-Majority,Sensitivity-Oriented,Cautious,Accuracy-Oriented,Confidence-Oriented
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1
0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
,,,,1,1,1,1,1
,,,,0,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,0,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,0,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,0,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,0,1
,,,,1,1,1,1,1
,,,,1,1,0,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,1,1,1
,,,,1,1,0,1,1
,,,,1,1,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,0,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,0,0,1
,,,,,,0,1,1
,,,,,,0,0,1
,,,,,,0,0,1
,,,,,,0,0,1
,,,,,,0,0,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,0,0,1
,,,,,,0,0,1
,,,,,,0,0,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,0,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,0,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,0,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,0,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,0,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
,,,,,,,1,1
